GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Marles-en-Brie;002000;1;049+842;51e9f07a-6665-11e3-afff-01f464e0362d;690768.9809999987;6848854.7588;2.874473240992445;48.73974636564191;48.73974636564191, 2.8744732409924447;48.73974636561925, 2.8744732409924447;"{""coordinates"": [2.874473240992445, 48.73974636561925], ""type"": ""Point""}"
Bellegarde;890000;1;132+713;51ea99c2-6665-11e3-afff-01f464e0362d;917561.3285000026;6559181.853399999;5.816712657282706;46.097498075439326;46.097498075439326, 5.816712657282706;46.09749807542288, 5.816712657282709;"{""coordinates"": [5.816712657282709, 46.09749807542288], ""type"": ""Point""}"
Nurieux;884000;1;033+306;51e75110-6665-11e3-afff-01f464e0362d;895206.6674999967;6568059.705800001;5.531184834063727;46.18421175506253;46.18421175506253, 5.531184834063727;46.18421175504631, 5.531184834063729;"{""coordinates"": [5.531184834063729, 46.18421175504631], ""type"": ""Point""}"
Giromagny;055000;1;442+865;51e04c2a-6665-11e3-afff-01f464e0362d;986987.9103000015;6744273.506700002;6.830519001437139;47.736192389740985;47.736192389740985, 6.830519001437139;47.73619238972932, 6.830519001437142;"{""coordinates"": [6.830519001437142, 47.73619238972932], ""type"": ""Point""}"
Bourges;682000;1;134+213;51ee8908-6665-11e3-afff-01f464e0362d;653488.4597999975;6666928.508200001;2.386744664243853;47.10098965103269;47.10098965103269, 2.386744664243853;47.100989651019155, 2.3867446642438526;"{""coordinates"": [2.386744664243853, 47.100989651019155], ""type"": ""Point""}"
Sillery;081000;1;211+544;51df3b40-6665-11e3-afff-01f464e0362d;783968.7612999976;6900802.148499999;4.152064137493592;49.20142751216189;49.20142751216189, 4.152064137493592;49.20142751214155, 4.152064137493593;"{""coordinates"": [4.152064137493593, 49.20142751214155], ""type"": ""Point""}"
L'Isle-d'Abeau;905621;1;003+688;cef51a06-dfb5-11e3-8eff-01a464e0362d;864509.1919;6506795.331599999;5.112106144402108;45.640895425134595;45.640895425134595, 5.112106144402108;45.64089542511681, 5.112106144402108;"{""coordinates"": [5.112106144402108, 45.64089542511681], ""type"": ""Point""}"
Chivres-en-Laonnois;228000;1;158+350;51e2689c-6665-11e3-afff-01f464e0362d;761225.7861000001;6949441.072799999;3.847214996424222;49.641155351517796;49.641155351517796, 3.8472149964242224;49.64115535149959, 3.8472149964242233;"{""coordinates"": [3.847214996424223, 49.64115535149959], ""type"": ""Point""}"
La Chapelle-d'Ambès;583000;1;593+865;51f24a68-6665-11e3-afff-01f464e0362d;417024.4547000006;6443066.8244;-0.594181270419545;45.02887102554532;45.02887102554532, -0.5941812704195452;45.02887102552582, -0.5941812704195467;"{""coordinates"": [-0.594181270419547, 45.02887102552582], ""type"": ""Point""}"
;311000;1;251+350;51eb5b46-6665-11e3-afff-01f464e0362d;601238.1006999984;7068113.679200001;1.604443214540153;50.70194016368182;50.70194016368182, 1.6044432145401533;50.70194016366845, 1.6044432145401517;"{""coordinates"": [1.604443214540152, 50.70194016366845], ""type"": ""Point""}"
