IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;GARE;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
128240;Faisceau V4 à V14;204000;2;269+217;51df8c66-6665-11e3-afff-01f464e0362d;Hayange;923566.0713;6918850.003800001;6.075672267119551;49.330031713354316;49.330031713354316, 6.075672267119551;49.330031713334606, 6.075672267119553;"{""coordinates"": [6.075672267119553, 49.330031713334606], ""type"": ""Point""}"
73321;ET Littoral UPT Fréthun (Calais);314000;1;290+766;51e778de-6665-11e3-afff-01f464e0362d;;618021.4514999986;7092983.743799999;1.83638461356115;50.92748074113395;50.92748074113395, 1.8363846135611503;50.92748074112154, 1.8363846135611492;"{""coordinates"": [1.836384613561149, 50.92748074112154], ""type"": ""Point""}"
157340;Faisceau Pair;272000;1;203+839;cef8a81a-dfb5-11e3-8eff-01a464e0362d;Biache-St-Vaast;695338.3610000014;7024080.986499999;2.934636881253233;50.31452415531752;50.31452415531752, 2.934636881253233;50.31452415530244, 2.934636881253233;"{""coordinates"": [2.934636881253233, 50.31452415530244], ""type"": ""Point""}"
155149;Faisceau Impair;652000;1;179+070;51ec08ec-6665-11e3-afff-01f464e0362d;Aire-sur-l'Adour;437392.36840000004;6295351.540100001;-0.258416087523681;43.7084224813365;43.7084224813365, -0.2584160875236812;43.708422481313505, -0.2584160875236832;"{""coordinates"": [-0.258416087523683, 43.708422481313505], ""type"": ""Point""}"
0;Faisceau Mâcon V42 à V52;830000;1;439+725;ff36fb82-e44b-11e8-80ff-0140b2273146;Mâcon-Ville;840422.436300002;6579726.752900001;4.824611221077018;46.302837176222376;46.302837176222376, 4.824611221077018;46.30283717620651, 4.824611221077019;"{""coordinates"": [4.824611221077019, 46.30283717620651], ""type"": ""Point""}"
154328;Faisceau V203 à 213;935904;1;024+931;51efc53a-6665-11e3-afff-01f464e0362d;;848850.0047999993;6258643.123199999;4.837033007571843;43.411321012866225;43.411321012866225, 4.837033007571843;43.41132101284252, 4.837033007571844;"{""coordinates"": [4.837033007571844, 43.41132101284252], ""type"": ""Point""}"
155519;Faisceau pair;695000;1;255+821;51ec4eee-6665-11e3-afff-01f464e0362d;Châteauneuf-sur-Cher;647577.9257000014;6639706.127700001;2.311945429005099;46.855464176580774;46.855464176580774, 2.311945429005099;46.85546417656651, 2.3119454290050987;"{""coordinates"": [2.311945429005099, 46.85546417656651], ""type"": ""Point""}"
86503;Faisceau Rognac V6 à V20;830000;1;836+991;51e8f10a-6665-11e3-afff-01f464e0362d;Rognac;880771.2735999972;6265764.513799999;5.233283261419125;43.467967325414904;43.467967325414904, 5.233283261419125;43.467967325391335, 5.233283261419126;"{""coordinates"": [5.233283261419126, 43.467967325391335], ""type"": ""Point""}"
132387;Faisceau Cour Marchandises;261000;1;078+240;51e5f74a-6665-11e3-afff-01f464e0362d;Tergnier;721438.0451999977;6951748.383299999;3.296780055373164;49.6644779738073;49.6644779738073, 3.2967800553731643;49.664477973789204, 3.2967800553731648;"{""coordinates"": [3.296780055373165, 49.664477973789204], ""type"": ""Point""}"
157231;Faisceau voies de réception + 1er Groupe;990306;1;002+455;cef98754-dfb5-11e3-8eff-01a464e0362d;Versailles-Matelots;634145.3633999974;6855487.027600002;2.103498434429971;48.796100093976506;48.796100093976506, 2.1034984344299708;48.796100093954145, 2.10349843442997;"{""coordinates"": [2.10349843442997, 48.796100093954145], ""type"": ""Point""}"
153061;Véhicules réformés;334900;1;005+090;51ea5e24-6665-11e3-afff-01f464e0362d;Bois-Colombes;647139.2094999999;6867879.6384;2.278836321921574;48.908741029210276;48.908741029210276, 2.2788363219215735;48.90874102918849, 2.2788363219215726;"{""coordinates"": [2.278836321921573, 48.90874102918849], ""type"": ""Point""}"
127992;Dépôt;784000;1;002+260;51e60f6a-6665-11e3-afff-01f464e0362d;Clermont-Ferrand;709700.1425999999;6521156.533399999;3.124859745686257;45.78996031166771;45.78996031166771, 3.124859745686257;45.789960311650354, 3.1248597456862575;"{""coordinates"": [3.124859745686257, 45.789960311650354], ""type"": ""Point""}"
128281;Faisceau Impair;089000;1;340+765;51e68e96-6665-11e3-afff-01f464e0362d;Novéant;923274.8478000015;6886354.7227;6.054386006023003;49.03820802385451;49.03820802385451, 6.054386006023003;49.03820802383335, 6.054386006023004;"{""coordinates"": [6.054386006023004, 49.03820802383335], ""type"": ""Point""}"
85537;Faisceau Pair F2;990316;1;081+474;51e3888e-6665-11e3-afff-01f464e0362d;Valenton;659746.0298999995;6850971.312800001;2.452420572662363;48.757593440548135;48.757593440548135, 2.4524205726623634;48.75759344052556, 2.452420572662363;"{""coordinates"": [2.452420572662363, 48.75759344052556], ""type"": ""Point""}"
154350;Faisceau impair ZI NE de Nantes;457000;1;386+365;51ead8ee-6665-11e3-afff-01f464e0362d;Carquefou;359876.440700002;6694322.471299998;-1.500353363095039;47.2619557475745;47.2619557475745, -1.500353363095039;47.261955747561444, -1.500353363095043;"{""coordinates"": [-1.500353363095043, 47.261955747561444], ""type"": ""Point""}"
86477;Faisceau Lérouville Impair;070000;1;289+015;51e936c2-6665-11e3-afff-01f464e0362d;Lérouville;886693.5610999987;6858046.1457;5.541875683692049;48.79545059825306;48.79545059825306, 5.541875683692049;48.7954505982307, 5.541875683692051;"{""coordinates"": [5.541875683692051, 48.7954505982307], ""type"": ""Point""}"
132133;Faisceau Impair;705000;1;341+479;51e1848a-6665-11e3-afff-01f464e0362d;Commentry;680512.5687000006;6577641.967599999;2.74682823942638;46.298392788325394;46.298392788325394, 2.74682823942638;46.2983927883095, 2.7468282394263794;"{""coordinates"": [2.746828239426379, 46.2983927883095], ""type"": ""Point""}"
132436;Faisceau Relais;292000;1;014+100;51e3b5e6-6665-11e3-afff-01f464e0362d;Lille-Délivrance;698845.8686999977;7058450.062800001;2.983717988848242;50.62305101278431;50.62305101278431, 2.9837179888482424;50.62305101277059, 2.9837179888482424;"{""coordinates"": [2.983717988848242, 50.62305101277059], ""type"": ""Point""}"
128257;Faisceau pair V4 a V6;040000;1;013+803;51e7193a-6665-11e3-afff-01f464e0362d;Pont-St-Vincent;928786.4073000029;6837998.2991;6.103718364619255;48.60171364581337;48.60171364581337, 6.103718364619255;48.60171364579001, 6.103718364619258;"{""coordinates"": [6.103718364619258, 48.60171364579001], ""type"": ""Point""}"
128557;Faisceau Bercy;830000;1;154+005;51e0cd4c-6665-11e3-afff-01f464e0362d;Laroche-Migennes;737310.744599998;6762293.026900001;3.499906603096525;47.95996454361949;47.95996454361949, 3.499906603096525;47.95996454360849, 3.499906603096526;"{""coordinates"": [3.499906603096526, 47.95996454360849], ""type"": ""Point""}"
132241;Faisceau Chantier Import;900000;1;236+972;51e71798-6665-11e3-afff-01f464e0362d;Modane;987915.6089000031;6462318.335000001;6.668188767409576;45.19998387961967;45.19998387961967, 6.668188767409576;45.19998387960066, 6.668188767409579;"{""coordinates"": [6.668188767409579, 45.19998387960066], ""type"": ""Point""}"
155323;Faisceau pair;342000;1;035+745;51eee4de-6665-11e3-afff-01f464e0362d;Étrépagny;582131.9755000025;6919622.336100001;1.377639981392635;49.365232669456546;49.365232669456546, 1.377639981392635;49.36523266943702, 1.3776399813926334;"{""coordinates"": [1.377639981392633, 49.36523266943702], ""type"": ""Point""}"
85583;Faisceau Relais Impair;893306;1;001+206;51e22b18-6665-11e3-afff-01f464e0362d;Lyon-Guillotière;843735.4104999974;6516120.938299999;4.848301355963771;45.72953542338823;45.72953542338823, 4.848301355963771;45.7295354233707, 4.848301355963772;"{""coordinates"": [4.848301355963772, 45.7295354233707], ""type"": ""Point""}"
128625;Faisceau Épinay-Villetaneuse Garages Centraux;330000;1;008+371;51e940b6-6665-11e3-afff-01f464e0362d;Épinay-Villetaneuse;651161.4055999964;6872752.9474;2.333145738301065;48.952880954867815;48.952880954867815, 2.3331457383010648;48.95288095484623, 2.333145738301064;"{""coordinates"": [2.333145738301064, 48.95288095484623], ""type"": ""Point""}"
73098;Faisceau Gargenville Pair V1 à V39;334000;1;049+634;51e75524-6665-11e3-afff-01f464e0362d;Gargenville;612742.2760000005;6876519.238600001;1.807847201069121;48.982679696289544;48.982679696289544, 1.807847201069121;48.98267969626812, 1.8078472010691202;"{""coordinates"": [1.80784720106912, 48.98267969626812], ""type"": ""Point""}"
