IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
132519;Blainville-Damelevières;070000;1;375+773;51e2f6fe-6665-11e3-afff-01f464e0362d;949934.988499999;6834674.336800002;6.388349026237453;48.564020524475964;48.564020524475964, 6.388349026237453;48.5640205244524, 6.3883490262374565;"{""coordinates"": [6.388349026237456, 48.5640205244524], ""type"": ""Point""}"
70019;Sibelin;830000;1;525+252;51e6c5de-6665-11e3-afff-01f464e0362d;842178.6539999992;6505730.510600001;4.825202278211353;45.63632265458748;45.63632265458748, 4.825202278211353;45.636322654569696, 4.825202278211354;"{""coordinates"": [4.825202278211354, 45.636322654569696], ""type"": ""Point""}"
70005;Woippy Triage;180000;1;164+500;51e71284-6665-11e3-afff-01f464e0362d;930339.3303999975;6903190.6712;6.160138871977391;49.18696472912452;49.18696472912452, 6.160138871977391;49.18696472910411, 6.160138871977393;"{""coordinates"": [6.160138871977393, 49.18696472910411], ""type"": ""Point""}"
70020;Clermont-les-Gravanches;790000;1;415+336;51e171d6-6665-11e3-afff-01f464e0362d;710043.3103;6522951.550000001;3.12931481425834;45.80611926475923;45.80611926475923, 3.1293148142583402;45.80611926474193, 3.1293148142583402;"{""coordinates"": [3.12931481425834, 45.80611926474193], ""type"": ""Point""}"
81614;Perpignan-Roussillon;679000;1;470+990;51df0844-6665-11e3-afff-01f464e0362d;687397.8866000026;6176175.763900001;2.846422949435258;42.685091684157165;42.685091684157165, 2.8464229494352575;42.6850916841318, 2.846422949435257;"{""coordinates"": [2.846422949435257, 42.6850916841318], ""type"": ""Point""}"
156508;Marseille Maritime;939001;1;857+356;cef425ea-dfb5-11e3-8eff-01a464e0362d;891346.0841000006;6250476.282499999;5.358211781703311;43.327721886771805;43.327721886771805, 5.358211781703311;43.327721886747895, 5.358211781703311;"{""coordinates"": [5.358211781703311, 43.327721886747895], ""type"": ""Point""}"
132519;Blainville-Damelevières;070000;1;373+165;51e2f6fe-6665-11e3-afff-01f464e0362d;948394.2498999983;6836623.212699998;6.368613208753806;48.58212819388056;48.58212819388056, 6.368613208753806;48.58212819385709, 6.368613208753808;"{""coordinates"": [6.368613208753808, 48.58212819385709], ""type"": ""Point""}"
70023;Metz-Sablon;192000;1;152+403;51e0c32e-6665-11e3-afff-01f464e0362d;931705.0117999986;6892899.855599999;6.173184596329637;49.094024239949114;49.094024239949114, 6.173184596329637;49.094024239928245, 6.173184596329639;"{""coordinates"": [6.173184596329639, 49.094024239928245], ""type"": ""Point""}"
133534;St-Jean-de-Maurienne-Arvan;900000;1;208+205;51e9b9ba-6665-11e3-afff-01f464e0362d;963065.496299997;6469789.219300002;6.356027512387447;45.27713638693348;45.27713638693348, 6.356027512387447;45.27713638691466, 6.35602751238745;"{""coordinates"": [6.35602751238745, 45.27713638691466], ""type"": ""Point""}"
132523;Brétigny;570000;1;031+183;51e87b2a-6665-11e3-afff-01f464e0362d;648546.1736999974;6834266.794599999;2.302083091600066;48.606553502762935;48.606553502762935, 2.302083091600066;48.60655350273961, 2.3020830916000654;"{""coordinates"": [2.302083091600065, 48.60655350273961], ""type"": ""Point""}"
132523;Brétigny;570000;1;032+374;51e87b2a-6665-11e3-afff-01f464e0362d;648143.9118999988;6833145.817600001;2.296762532379797;48.596438403623395;48.596438403623395, 2.296762532379797;48.59643840360001, 2.296762532379797;"{""coordinates"": [2.296762532379797, 48.59643840360001], ""type"": ""Point""}"
72504;Nantes-Blottereau;515000;1;425+641;51df0444-6665-11e3-afff-01f464e0362d;360660.93559999764;6691464.372400001;-1.487848651398651;47.2366688758361;47.2366688758361, -1.487848651398651;47.236668875822986, -1.4878486513986542;"{""coordinates"": [-1.487848651398654, 47.236668875822986], ""type"": ""Point""}"
73230;Rennes;420000;1;370+250;51e81b6e-6665-11e3-afff-01f464e0362d;355383.6714999974;6788744.2137;-1.632884974099911;48.10805716953751;48.10805716953751, -1.6328849740999105;48.10805716952693, -1.6328849740999145;"{""coordinates"": [-1.632884974099915, 48.10805716952693], ""type"": ""Point""}"
70005;Woippy Triage;180000;1;165+960;51e71284-6665-11e3-afff-01f464e0362d;930055.8302000016;6904641.2223000005;6.157048781914067;49.20009713922493;49.20009713922493, 6.1570487819140665;49.200097139204594, 6.157048781914068;"{""coordinates"": [6.157048781914068, 49.200097139204594], ""type"": ""Point""}"
132523;Brétigny;570000;1;033+794;51e87b2a-6665-11e3-afff-01f464e0362d;647702.4153999984;6831798.360100001;2.2909396584086;48.58428263670246;48.58428263670246, 2.2909396584085995;48.584282636679, 2.290939658408599;"{""coordinates"": [2.290939658408599, 48.584282636679], ""type"": ""Point""}"
132518;Bayonne;655000;1;195+900;51e65f8a-6665-11e3-afff-01f464e0362d;337328.820600003;6277675.049199998;-1.485244223686131;43.505430790596755;43.505430790596755, -1.4852442236861312;43.505430790573286, -1.4852442236861336;"{""coordinates"": [-1.485244223686134, 43.505430790573286], ""type"": ""Point""}"
70023;Metz-Sablon;089000;1;350+363;51e0c32e-6665-11e3-afff-01f464e0362d;929357.376000002;6892908.705600001;6.141072779393243;49.09494748011523;49.09494748011523, 6.141072779393243;49.094947480094376, 6.141072779393245;"{""coordinates"": [6.141072779393245, 49.094947480094376], ""type"": ""Point""}"
3030;Triage Avignon;830000;1;741+795;51e73db4-6665-11e3-afff-01f464e0362d;844510.6609999985;6317493.8983;4.800051904836677;43.94162338096368;43.94162338096368, 4.800051904836677;43.94162338094127, 4.800051904836679;"{""coordinates"": [4.800051904836679, 43.94162338094127], ""type"": ""Point""}"
132518;Bayonne;655000;1;197+080;51e65f8a-6665-11e3-afff-01f464e0362d;338010.450000003;6276769.533;-1.476198260844521;43.49764476941885;43.49764476941885, -1.4761982608445212;43.49764476939536, -1.4761982608445237;"{""coordinates"": [-1.476198260844524, 43.49764476939536], ""type"": ""Point""}"
132513;Ambérieu;890000;1;052+339;51e2d4f4-6665-11e3-afff-01f464e0362d;882183.7409999967;6541899.981699999;5.352322402013101;45.9523843267897;45.9523843267897, 5.352322402013101;45.952384326772815, 5.352322402013103;"{""coordinates"": [5.352322402013103, 45.952384326772815], ""type"": ""Point""}"
85559;Thionville;177000;1;000+326;51e89d32-6665-11e3-afff-01f464e0362d;930545.1961999983;6921972.540899999;6.17331010552885;49.35559629618237;49.35559629618237, 6.17331010552885;49.355596296162794, 6.173310105528853;"{""coordinates"": [6.173310105528853, 49.355596296162794], ""type"": ""Point""}"
70017;Villeneuve-St-Georges;830000;1;013+180;51e73c0c-6665-11e3-afff-01f464e0362d;658939.4362000003;6849174.6554000005;2.441621571358391;48.741383788338;48.741383788338, 2.441621571358391;48.741383788315346, 2.4416215713583904;"{""coordinates"": [2.44162157135839, 48.741383788315346], ""type"": ""Point""}"
70005;Woippy Triage;180000;1;162+084;51e71284-6665-11e3-afff-01f464e0362d;930225.5778999999;6900824.802299999;6.157282760000609;49.16575236352407;49.16575236352407, 6.157282760000609;49.16575236350357, 6.157282760000612;"{""coordinates"": [6.157282760000612, 49.16575236350357], ""type"": ""Point""}"
133534;St-Jean-de-Maurienne-Arvan;900000;1;209+343;51e9b9ba-6665-11e3-afff-01f464e0362d;964038.308600001;6469188.035999998;6.368096090249971;45.27135518667119;45.27135518667119, 6.368096090249971;45.27135518665236, 6.368096090249974;"{""coordinates"": [6.368096090249974, 45.27135518665236], ""type"": ""Point""}"
